Section : 21015
Number of Data Points = 61.0000
Span = 2D
Upper Surface	Lower Surface
X	Y	X	Y
0		0		0		0
-0.0026749	0.011580	0.0081530	-0.0084692
0.0028794	0.026044	0.018973	-0.015363
0.018388	0.040984	0.030556	-0.022595
0.042072	0.052770	0.044382	-0.030670
0.067577	0.061143	0.066398	-0.039213
0.096168	0.068187	0.094815	-0.046927
0.12918	0.073983	0.12768	-0.053497
0.16624	0.078431	0.16463	-0.058815
0.20696	0.081468	0.20526	-0.062808
0.25087	0.083075	0.24913	-0.065446
0.29751	0.083280	0.29575	-0.066747
0.34637	0.082155	0.34462	-0.066771
0.39690	0.079812	0.39519	-0.065616
0.44856	0.076389	0.44691	-0.063408
0.50078	0.072047	0.49922	-0.060295
0.55299	0.066955	0.55154	-0.056431
0.60462	0.061285	0.60329	-0.051976
0.65511	0.055204	0.65391	-0.047083
0.70390	0.048871	0.70283	-0.041899
0.75046	0.042439	0.74954	-0.036563
0.79429	0.036051	0.79350	-0.031207
0.83489	0.029846	0.83424	-0.025957
0.87184	0.023957	0.87131	-0.020938
0.90471	0.018514	0.90430	-0.016269
0.93316	0.013644	0.93286	-0.012070
0.95688	0.0094669	0.95667	-0.0084509
0.97560	0.0060903	0.97546	-0.0055151
0.98911	0.0036066	0.98903	-0.0033498
0.99729	0.0020866	0.99724	-0.0020223
1.0000	0.0015749	0.99998	-0.0015749
