Section : 64-012
Number of Data Points = 61.0000
Span = 2D
Upper Surface	Lower Surface
X		Y		X		Y
0.0		0.0012229	0.0		-0.0012229
0.0027384	0.0070732	0.0027384	-0.0070732
0.010923	0.013614	0.010923	-0.013614
0.024466	0.019709	0.024466	-0.019709
0.043216	0.025923	0.043216	-0.025923
0.066971	0.032040	0.066971	-0.032040
0.095468	0.037845	0.095468	-0.037845
0.12840		0.043279	0.12840		-0.043279
0.16539		0.048207	0.16539		-0.048207
0.20606		0.052487	0.20606		-0.052487
0.24994		0.055966	0.24994		-0.055966
0.29656		0.058459	0.29656		-0.058459
0.34541		0.059840	0.34541		-0.059840
0.39595		0.059647	0.39595		-0.059647
0.44762		0.057518	0.44762		-0.057518
0.49987		0.053896	0.49987		-0.053896
0.55213		0.049174	0.55213		-0.049174
0.60380		0.043672	0.60380		-0.043672
0.65434		0.037704	0.65434		-0.037704
0.70319		0.031556	0.70319		-0.031556
0.74981		0.025503	0.74981		-0.025503
0.79369		0.019811	0.79369		-0.019811
0.83436		0.014706	0.83436		-0.014706
0.87135		0.010333	0.87135		-0.010333
0.90428		0.0067841	0.90428		-0.0067841
0.93278		0.0040579	0.93278		-0.0040579
0.95653		0.0021320	0.95653		-0.0021320
0.97528		0.00092806	0.97528		-0.00092806
0.98883		0.00028635	0.98883		-0.00028635
0.99701		0.000068188	0.99701		-0.000068188
0.99975		0.0000010313	0.99975		-0.0000010313
