Section : NACA2412  
Number of Data Points = 109   
Span = 10.0   
Upper Surface   Lower Surface 
X        Y        X         Y
0        0        0         0
0.000338 0.005176 0.001354 -0.005007
0.002384 0.010387 0.004377 -0.009714
0.006138 0.015621 0.009055 -0.014116
0.01159  0.020858 0.015365 -0.018208
0.018728 0.026076 0.023282 -0.021986
0.027533 0.031248 0.032775 -0.025444
0.037978 0.03634  0.043806 -0.02858
0.050032 0.041318 0.056336 -0.031389
0.063657 0.046145 0.070318 -0.033869
0.078809 0.05078  0.085704 -0.036021
0.095437 0.055186 0.102439 -0.037846
0.113487 0.059323 0.120469 -0.039348
0.132896 0.063152 0.139731 -0.040535
0.153595 0.066639 0.160163 -0.041416
0.175513 0.06975  0.181699 -0.042004
0.198572 0.072457 0.20427  -0.042315
0.222688 0.074733 0.227803 -0.042368
0.247774 0.076558 0.252226 -0.042183
0.273739 0.077916 0.277462 -0.041785
0.30049  0.078797 0.303431 -0.0412
0.327928 0.079193 0.330052 -0.040454
0.355955 0.079104 0.357242 -0.039575
0.384468 0.078534 0.384916 -0.038593
0.41326  0.077504 0.413092 -0.037523
0.442216 0.076113 0.441692 -0.036309
0.471358 0.074399 0.470497 -0.034957
0.500588 0.072381 0.499412 -0.033493
0.529804 0.070085 0.528341 -0.031936
0.558906 0.067533 0.557187 -0.030309
0.587793 0.064752 0.585855 -0.028631
0.616369 0.061769 0.614247 -0.026919
0.644535 0.058609 0.642268 -0.025192
0.672196 0.055302 0.669824 -0.023463
0.699259 0.051874 0.696821 -0.021744
0.725632 0.048356 0.723167 -0.020048
0.751228 0.044774 0.748772 -0.018385
0.77596  0.041158 0.773549 -0.016762
0.799747 0.037537 0.797412 -0.015188
0.822508 0.03394  0.820279 -0.01367
0.84417  0.030396 0.842072 -0.012213
0.86466  0.026935 0.862714 -0.010824
0.88391  0.023585 0.882134 -0.009508
0.901859 0.020375 0.900264 -0.008271
0.918447 0.017332 0.917041 -0.007117
0.933621 0.014485 0.932405 -0.006052
0.947331 0.011858 0.946302 -0.005081
0.959533 0.009476 0.958683 -0.00421
0.970188 0.007362 0.969504 -0.003443
0.979262 0.005537 0.978727 -0.002785
0.986726 0.004017 0.986319 -0.00224
0.992556 0.002819 0.992251 -0.001813
0.996734 0.001954 0.996505 -0.001505
0.999246 0.001432 0.999063 -0.001319
1.000084 0.001257 0.999916 -0.001257
