Section : 64-212
Number of Data Points = 61.0000
Span = 2D
Upper Surface	Lower Surface
X	Y	X	Y
7.2164e-16	0.0017818	7.2164e-16	-0.00093689
0.0027384	0.0081912	0.0027384	-0.0060823
0.010923	0.015155	0.010923	-0.012124
0.024466	0.022007	0.024466	-0.017472
0.043216	0.029164	0.043216	-0.022745
0.066971	0.036284	0.066971	-0.027849
0.095468	0.043131	0.095468	-0.032605
0.12840	0.049601	0.12840	-0.036997
0.16539	0.055510	0.16539	-0.040936
0.20606	0.060701	0.20606	-0.044298
0.24994	0.064987	0.24994	-0.046957
0.29656	0.068176	0.29656	-0.048754
0.34541	0.070112	0.34541	-0.049573
0.39595	0.070327	0.39595	-0.048970
0.44762	0.068456	0.44762	-0.046582
0.49988	0.064931	0.49988	-0.042860
0.55213	0.060139	0.55213	-0.038208
0.60380	0.054397	0.60380	-0.032950
0.65434	0.048018	0.65434	-0.027394
0.70319	0.041298	0.70319	-0.021820
0.74981	0.034524	0.74981	-0.016490
0.79369	0.027976	0.79369	-0.011655
0.83436	0.021906	0.83436	-0.0075154
0.87135	0.016487	0.87135	-0.0041894
0.90428	0.011839	0.90428	-0.0017376
0.93278	0.0080011	0.93278	-0.00012208
0.95653	0.0049898	0.95653	0.00072076
0.97528	0.0027740	0.97528	0.00091471
0.98883	0.0012638	0.98883	0.00068982
0.99701	0.00034710	0.99701	0.00021022
0.99975	0.000039805	0.99975	0.000037744
