Section : 65-618
Number of Data Points = 61.0000
Upper Surface	Lower Surface
X	          Y	          X	          Y
-0.000567	0.0044245	-0.000567 	0.00035765
0.0021725	0.015371	0.0021725	-0.0050506
0.010362	0.025103	0.010362	-0.013127
0.023912	0.035607	0.023912	-0.019778
0.042674	0.046986	0.042674	-0.025751
0.066441	0.058604	0.066441	-0.031555
0.094954	0.070113	0.094954	-0.037037
0.12790		0.081138	0.12790		-0.042127
0.16492		0.091408	0.16492		-0.046712
0.20561		0.10062		0.20561		-0.050679
0.24951		0.10852		0.24951		-0.053918
0.29616		0.11490		0.29616		-0.056311
0.34503		0.11948		0.34503		-0.057691
0.39560		0.12204		0.39560		-0.057894
0.44731		0.12203		0.44731		-0.056416
0.49959		0.11914		0.49959		-0.052925
0.55187		0.11331		0.55187		-0.047402
0.60358		0.10510		0.60358		-0.040479
0.65415		0.095188	0.65415		-0.032862
0.70302		0.084069	0.70302		-0.025053
0.74967		0.072357	0.74967		-0.017608
0.79358		0.060487	0.79358		-0.010860
0.83426		0.048936	0.83426		-0.0051522
0.87128		0.038106	0.87128		-0.00070480
0.90423		0.028327	0.90423		0.0023558
0.93274		0.019869	0.93274		0.0040135
0.95651		0.012879	0.95651		0.0043887
0.97527		0.0074556	0.97527		0.0036681
0.98882		0.0035371	0.98882		0.0023421
0.99701		0.00098230	0.99701		0.00069241
0.99975		0.00011886	0.99975		0.00011341
