Section : 67-215
Number of Data Points = 61.0000
Span = 2D
Upper Surface	Lower Surface
X		Y		X		Y
0.0		0.0026525	0.0		-0.0011603
0.0027384	0.010356	0.0027384	-0.0075310
0.010923	0.018388	0.010923	-0.014799
0.024466	0.026158	0.024466	-0.021335
0.043216	0.033737	0.043216	-0.027134
0.066971	0.041371	0.066971	-0.032765
0.095468	0.048781	0.095468	-0.038127
0.12840	  	0.055804	0.12840		-0.043092
0.16539		0.062366	0.16539		-0.047699
0.20606		0.068338	0.20606		-0.051852
0.24994		0.073592	0.24994		-0.055486
0.29656		0.078041	0.29656		-0.058551
0.34541		0.081608	0.34541		-0.061011
0.39595		0.084157	0.39595		-0.062749
0.44762		0.085662	0.44762		-0.063758
0.49988		0.086003	0.49988		-0.063931
0.55213		0.085104	0.55213		-0.063192
0.60381		0.082822	0.60381		-0.061390
0.65435		0.079010	0.65435		-0.058363
0.70319		0.073404	0.70319		-0.053810
0.74981		0.065392	0.74981		-0.047102
0.79369		0.055206	0.79369		-0.038530
0.83436		0.044571	0.83436		-0.029801
0.87136		0.034097	0.87136		-0.021426
0.90428		0.024316	0.90428		-0.013910
0.93278		0.015964	0.93278		-0.0078752
0.95653		0.0094189	0.95653		-0.0035887
0.97528		0.0048247	0.97528		-0.0010841
0.98883		0.0019357	0.98883		0.000034391
0.99701		0.00050909	0.99701		0.000050654
0.99975		0.000043303	0.99975		0.000034256
